Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
VRI 4841/21 (ob_90467),Kubang Pasu,"Kg Padung, Mukim Temin",Farm,1,3/7/2021,31/12/2021,Kedah,,,,
MVZTK 1575/21 (ob_90466),Pasir Mas,KG BAYU LALANG,Farm,1,14/7/2021,31/12/2021,Kelantan,,,,
MZVT 1566/21 (ob_90452),Jempol,"NO. 174 BLOK 8 FELDA RAJA ALIAS 1, 72120 BANDAR SERI JEMPOL",Farm,1,26/7/2021,31/12/2021,Negeri Sembilan,,,,
MZVT 1543/21 (ob_90450),Sabak Bernam,"NO 9, DIVISION 1, LADANG SG BERNAM",Farm,1,23/7/2021,31/12/2021,Selangor,,,,
MZVT 1542/2021 (ob_90449),Sabak Bernam,"PARIT 14, SG PANJANG",Farm,1,23/7/2021,31/12/2021,Selangor,,,,
MZVT 1532/21 (ob_90448),Klang,"LOT 2503, JLN BAKTI, BATU 3, JLN KAPAR",Farm,1,8/7/2021,31/12/2021,Selangor,,,,
MZVT 1531/2021 (ob_90447),Klang,"RIZAB JPS. BATU 7 1/2, KG PEREPAT, KAPAR",Farm,1,8/7/2021,31/12/2021,Selangor,,,,
MZVT 1530/21 (ob_90446),Klang,"PADANG MEMANAH KG BATU 3, LRG HJ KHAIRUDDIN, KG RANTAU PANJANG, KLANG",Farm,1,12/7/2021,31/12/2021,Selangor,,,,
MZVT 1529/21 (ob_90445),Klang,"JALAN KOMPLEKS RAKAN MUDA, KAPAR",Farm,1,26/7/2021,31/12/2021,Selangor,,,,
VRI 4692/21 (ob_90444),Setiu,"Kg. Bukit Munduk, Hulu Nerus",Farm,1,29/6/2021,31/12/2021,Terengganu,,,,
VRI 4516/21 (ob_90443),Sik,"Kg. Kuala Cahaya, Mukim Teloi Kanan",Farm,1,20/6/2021,31/12/2021,Kedah,,,,
VRI 4515/21 (ob_90442),Kubang Pasu,"Felda Bukit Tangga, Jln Sintok, Changloon",Farm,1,21/6/2021,31/12/2021,Kedah,,,,
VRI 4514/21 (ob_90441),Baling,"Kg Kejai, Mukim Bakai",Farm,1,21/6/2021,31/12/2021,Kedah,,,,
VRI 4513/21 (ob_90440),Kota Setar,"Kg. Alor Janggus, Padang Lalang",Farm,1,20/6/2021,31/12/2021,Kedah,,,,
VRI 4510/21 (ob_90439),Kubang Pasu,"Kg. Belukar, Mukim Temin",Farm,1,21/6/2021,31/12/2021,Kedah,,,,
VRI 4429/21 (ob_90438),Kota Setar,"B-12, Kg Alor Pulai Kankong, Kota Setar",Farm,1,18/6/2021,31/12/2021,Kedah,,,,
VRI 4282/21 (ob_90437),Kubang Pasu,"Kampung Belukar, Mukim Sungai Laka, Changlun",Farm,1,12/6/2021,31/12/2021,Kedah,,,,
MZVT 1640/2021 (ob_88568),Hulu Selangor,"Peringkat 4, kg. sg Buaya",Farm,1,1/8/2021,1/11/2021,Selangor,,,,
VRI 5236/2021 (ob_88567),Seberang Perai Selatan,"1187,Jalan Besar, Kampung Valdor,14200 Sungai Bakap",Farm,1,26/7/2021,1/10/2021,Pulau Pinang,,,,
VRI 5234/2021 (ob_88566),Seberang Perai Selatan,"2235 Jalan Tali Air, Tanjung Berembang",Farm,1,25/7/2021,1/10/2021,Pulau Pinang,,,,
VRI 5230/2021 (ob_88565),Marang,"Kg. Tebakang, Alor Limbat",Farm,1,21/7/2021,1/10/2021,Terengganu,,,,
VRI 5228/2021 (ob_88564),Besut,"Kg. Gong Surau, Bukit Puteri",Farm,1,27/7/2021,1/10/2021,Terengganu,,,,
VRI 5020/2021 (ob_88563),Perlis,"Kg. Titi Tinggi Hilir, Padang Besar",Farm,1,14/7/2021,1/10/2021,Perlis,,,,
VRI 5235/2021 (ob_88562),Seberang Perai Selatan,"Lot 1937, Jalan Sungai Daun, Nibong Tebal",Farm,1,25/7/2021,1/10/2021,Pulau Pinang,,,,
VRI 4988/2021 (ob_88561),Tanah Merah,"No 291, Blok 14, Felda Kemahang 3",Farm,1,9/7/2021,1/10/2021,Kelantan,,,,
MVZT 1593/2021 (ob_88560),Melaka Tengah,"LOT 21, KG BARU BUKIT KAJANG 77200 BEMBAN JASIN",Farm,1,29/7/2021,1/10/2021,Melaka,,,,
MVZT 1590/2021 (ob_88559),Jempol,"NO 140 BLOK 6,(F) RAJA ALIAS 4,72120 BSJ",Farm,1,23/7/2021,1/10/2021,Negeri Sembilan,,,,
VRI 5023/2021 (ob_88558),Perlis,"No 173 Blok 7, Felda Mata Ayer, Padang Besar",Farm,1,14/7/2021,1/10/2021,Perlis,,,,
VRI 4842/2021 (ob_88557),Perlis,"Kuari Rimba Mas, Jalan Padang Besar",Farm,1,7/7/2021,1/10/2021,Perlis,,,,
VRI 4840/2021 (ob_88556),Perlis,"Kampung Titi Tinggi Ulu, Jalan Padang Besar, Kaki Bukit",Farm,1,7/7/2021,1/10/2021,Perlis,,,,
VRI 4839/2021 (ob_88555),Perlis,"kampung Titi Tinggi Ulu, Jalan Padang Besar",Farm,1,7/7/2021,1/10/2021,Perlis,,,,
VRI 4838/2021 (ob_88554),Perlis,"Kampung Baru, Bt. 18, Jalan Kaki Bukit, Padang Besar",Farm,1,7/7/2021,1/10/2021,Perlis,,,,
VRI 4926/2021 (ob_88553),Seberang Perai Selatan,1436 Kg Teluk Sg. Kechil 14300 Nibong tebal,Farm,1,10/7/2021,1/10/2021,Pulau Pinang,,,,
VRI 4928/2021 (ob_88552),Seberang Perai Selatan,"915 Tanjung Berembang, Nibong Tebal, Pulau Pinang",Farm,1,10/7/2021,1/10/2021,Pulau Pinang,,,,
VRI 4937/2021 (ob_88551),Tanah Merah,Kg Batu 5 1/2 Jalan Bendang Nyior,Farm,1,7/7/2021,1/10/2021,Kelantan,,,,
MZVT 1566/2021 (ob_88550),Jempol,"NO. 174 BLOK 8 FELDA RAJA ALIAS 1, 72120 BANDAR SERI JEMPOL",Farm,1,26/7/2021,1/10/2021,Negeri Sembilan,,,,
VRI 4835/2021 (ob_88549),Perlis,Kampung Katong Kurung Anai,Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4834/2021 (ob_88548),Perlis,"Kg Panggas Besar, Chuping",Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4833/2021 (ob_88547),Perlis,"Jln Ku Mat Taib, Kg Semadong, 02400 Beseri, Kaki Bukit",Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4832/2021 (ob_88546),Perlis,"Batu 8 1/2 Jalan Kaki Bukit, Beseri",Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4831/2021 (ob_88545),Perlis,"Bt 19 Kg Seri Kesinai, Titi Tingg",Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4830/2021 (ob_88544),Perlis,"No 189 Kg Titi Tinggi, Jalan Padang Besar, Titi Tinggi, Kaki Bukit",Farm,1,5/7/2021,1/10/2021,Perlis,,,,
VRI 4809/2021 (ob_88543),Tanah Merah,Kg. Bechah Tok Kamal,Farm,1,6/7/2021,1/10/2021,Kelantan,,,,
VRI 4810/2021 (ob_88542),Tanah Merah,"Kg Baru, Bukit Kecik",Farm,1,4/7/2021,1/10/2021,Kelantan,,,,
VRI 4808/2021 (ob_88541),Tanah Merah,"Kg. Bukit Mas, Tanah Merah",Farm,1,5/7/2021,1/10/2021,Kelantan,,,,
MZVT 1528/2021 (ob_88540),Seremban,LOT 1556,Farm,1,24/7/2021,1/10/2021,Negeri Sembilan,,,,
VRI 4679/2021 (ob_88539),Kuala Kangsar,KG Bendang Panjang,Farm,1,27/5/2021,1/8/2021,Perak,,,,
VRI 4678/2021 (ob_88538),Kinta,"No 17, Belakang Taman Tun Sambathan Sungai Siput Utara",Farm,1,13/6/2021,1/9/2021,Perak,,,,
VRI 4690/2021 (ob_88537),Kota Bharu,"Lot 827, Kg Seribong",Farm,1,29/6/2021,1/9/2021,Kelantan,,,,
VRI 4688/2021 (ob_88536),Kota Bharu,"Kampung Guntong, Limbat",Farm,1,20/6/2021,1/9/2021,Kelantan,,,,
VRI 4668/2021 (ob_88535),Kota Bharu,Kg Aril Peringat,Farm,1,28/6/2021,1/9/2021,Kelantan,,,,
VRI 4667/2021 (ob_88534),Kota Bharu,Kg Teluk Kitang,Farm,1,28/6/2021,1/9/2021,Kelantan,,,,
VRI 4665/2021 (ob_88533),Kota Bharu,"Kg. Baru 2, Wakaf Che Yeh",Farm,1,23/6/2021,1/9/2021,Kelantan,,,,
MVZT 1451/2021 (ob_88532),Sabak Bernam,NO 45A JALAN MASJID KG BANTING 45100 SABAK BERNAM,Farm,1,9/7/2021,1/10/2021,Selangor,,,,
VRI 4576/2021 (ob_88531),Bentong,"Kg Chemomoi, Simpang Pelangai",Farm,1,28/6/2021,1/9/2021,Pahang,,,,
VRI 4540/2021 (ob_88530),Perlis,"Akademi Solat Wang Tengku Batu, 8 1/2 Jalan Kaki Bukit",Farm,1,23/6/2021,1/9/2021,Perlis,,,,
VRI 4539/2021 (ob_88529),Perlis,Kampung Katung,Farm,1,24/6/2021,1/9/2021,Perlis,,,,
VRI 4538/2021 (ob_88528),Perlis,"Kg Padang Telela, 02600 Pauh",Farm,1,24/6/2021,1/9/2021,Perlis,,,,
VRI 4537/2021 (ob_88527),Perlis,"No 100 Kg Guar Gajah, Jln Pdg Nyu, 02600 Arau",Farm,1,23/6/2021,1/9/2021,Perlis,,,,
VRI 4583/2021 (ob_88526),Kinta,"no. 82, laluan 4, desa pengkalan",Farm,1,27/6/2021,1/9/2021,Perak,,,,
VRI 4582/2021 (ob_88525),Kinta,Jalan Tonggang Kuda,Farm,1,29/6/2021,1/9/2021,Perak,,,,
VRI 4559/2021 (ob_88524),Kinta,"No 23, Jalan Anggerik Desa CHT, Batu Gajah",Farm,1,27/6/2021,1/9/2021,Perak,,,,
VRI 4558/2021 (ob_88523),Kinta,No 10 Sikh Settlement 31800 Tj Tualang,Farm,1,24/6/2021,1/9/2021,Perak,,,,
VRI 4557/2021 (ob_88522),Kinta,55 Kampung Kurnia 31750 Tronoh,Farm,1,24/6/2021,1/9/2021,Perak,,,,
VRI 4556/2021 (ob_88521),Kinta,No 72 Jalan Meteor Taman Kinta 31400 Ipoh,Farm,1,27/6/2021,1/9/2021,Perak,,,,
VRI 4552/2021 (ob_88520),Kerian,28 a parit mat seh,Farm,1,27/6/2021,1/9/2021,Perak,,,,
VRI 4581/2021 (ob_88519),Timur Laut,"Blok 2-7-5, Desa Mawar Lintang, Kampung Melayu 2, Ayer Hitam",Farm,1,27/6/2021,1/9/2021,Pulau Pinang,,,,
VRI 4594/2021 (ob_88517),Maran,Kg Ulu Luit,Farm,1,8/6/2021,1/9/2021,Pahang,,,,
VRI 4664/2021 (ob_88516),Kota Bharu,"Lot 1493, Kg. Surau Kota",Farm,1,20/6/2021,1/9/2021,Kelantan,,,,
VRI 4599/2021 (ob_88514),Kota Bharu,Kg Kok Pasir,Farm,1,22/6/2021,1/9/2021,Kelantan,,,,
VRI 4526/2021 (ob_88513),Bentong,"No 160, Felda Mempaga 2,28600, Karak",Farm,1,25/6/2021,1/9/2021,Pahang,,,,
VR1 4789/2021 (ob_88512),Tanah Merah,"PT9662, Taman Megah, Kg Bukit Gading",Farm,1,3/7/2021,1/10/2021,Kelantan,,,,
VRI 4462/2021 (ob_88511),Segamat,LAdang Sg. Gerchang 2,Farm,1,8/6/2021,1/9/2021,Johor,,,,
VRI 4467/2021 (ob_88510),Segamat,Ladang Sg. Gerchang 2,Farm,1,15/6/2021,1/9/2021,Johor,,,,
VRI 4457/2021 (ob_88509),Segamat,"No. 46, Jalan Sg. Sabar",Farm,1,4/6/2021,1/9/2021,Johor,,,,
VRI 4493/2021 (ob_88508),Kuala Kangsar,"Kg Gapis, Padang Rengas",Farm,1,27/5/2021,1/8/2021,Perak,,,,
VRI 4499/2021 (ob_88507),Pasir Mas,"Kg Kedondong ,Pasir Mas",Farm,1,8/6/2021,1/9/2021,Kelantan,,,,
"VRI 4497,4498/2021 (ob_88506)",Pasir Mas,"Kg Bechah Palas, Pasir Mas",Farm,1,8/6/2021,1/9/2021,Kelantan,,,,
VRI 4496/2021 (ob_88505),Bachok,Kg Cherang Hangus,Farm,1,13/6/2021,1/9/2021,Kelantan,,,,
VRI 4491/2021 (ob_88504),Bachok,"Kg Balai, Perupok 16300, Bachok",Farm,1,15/6/2021,1/9/2021,Kelantan,,,,
VRI 4424/2021 (ob_88503),Perlis,"KM 17M, Jalan Bukit Manik, Jalan Kaki Bukit, 02200 Kaki Bukit",Farm,1,21/6/2021,1/9/2021,Perlis,,,,
VRI 4425/2021 (ob_88502),Perlis,"Bt. 8 1/2, Kg. Semabong, Jalan Kaki Bukit, Beseri, Kangar",Farm,1,21/6/2021,1/9/2021,Perlis,,,,
MVZT 1450/2021 (ob_88501),Sabak Bernam,"BATU 37, DARAT JALAN HAJI ISMAIL 45200 SABAK BERNAM",Farm,1,9/7/2021,1/10/2021,Selangor,,,,
MVZT 1449/2021 (ob_88500),Sabak Bernam,LOT 9230 BATU 5 JALAN PANCHANG BEDENA,Farm,1,9/7/2021,1/10/2021,Selangor,,,,
VRI 4453/2021 (ob_88499),Kinta,"No. 10, Jalan Pulai Jaya 3 Bandar Pulai Jaya, Kampung Kepayang",Farm,1,20/6/2021,1/9/2021,Perak,,,,
VRI 4452/2021 (ob_88498),Kinta,"No. 1, Jalan Tanjung Tualang",Farm,1,20/6/2021,1/9/2021,Perak,,,,
VRI 4451/2021 (ob_88497),Kinta,"Lot 4572, Munggi Villa Kg. Jernih Baru",Farm,1,20/6/2021,1/9/2021,Perak,,,,
VRI 1452/2021 (ob_88496),Kuala Selangor,LOT 1362 JALAN LADANG KG JAYA SETIA 45600 BATANG BERJUNTAI,Farm,1,10/7/2021,1/10/2021,Selangor,,,,
MVZT 1438/2021 (ob_88495),Jempol,"NO. 180, TAMAN BAHAU, 72100, BAHAU,",Farm,1,5/7/2021,1/10/2021,Negeri Sembilan,,,,
VRI 4388/2021 (ob_88494),Kota Bharu,"PT 325, Kampung Tunjung, Pendek Kota Bharu",Farm,1,20/6/2021,1/9/2021,Kelantan,,,,
VRI 4387/2021 (ob_88493),Kota Bharu,"Lot 808, Kg Pasir Hor, 15100, Kota Bharu",Farm,1,16/6/2021,1/9/2021,Kelantan,,,,
VRI 4386/2021 (ob_88492),Kota Bharu,"Kg Padang Salim, Kota Bharu",Farm,1,15/6/2021,1/9/2021,Kelantan,,,,
VRI 4385/2021 (ob_88491),Kota Bharu,"Kg. Bilok Banggu, Banggu, Kota Bharu",Farm,1,15/6/2021,1/9/2021,Kelantan,,,,
VRI 4384/2021 (ob_88490),Kota Bharu,"Kg. Terap, Banggu, Kota Bharu",Farm,1,17/6/2021,1/9/2021,Kelantan,,,,
VRI 4427/2021 (ob_88489),Perlis,"Kg Darat, Bt 7, Jln Kaki Bukit, Beseri",Farm,1,9/6/2021,1/9/2021,Perlis,,,,
MVZT 1422/2021 (ob_88488),Sabak Bernam,"Lot 215 Jln Hj Shuhaimi Batu 2 Sepintas,",Farm,1,1/7/2021,1/10/2021,Selangor,,,,
MVZT 1417/2021 (ob_88194),Bentong,"97, Felda Chemomoi, 28310 Triang, Pahang",Farm,1,5/7/2021,1/10/2021,Pahang,,,,
VRI 4311/2021 (ob_87501),Kinta,"Balai Polis Kg. Baru, Jalan Sg. Pari",Farm,1,18/6/2021,1/9/2021,Perak,,,,
VRI 4305/2021 (ob_87497),Larut and Matang,"No. 55, Kg. Setia, Air Putih, Simpang",Farm,1,17/6/2021,1/9/2021,Perak,,,,
VRI 4304/2021 (ob_87496),Larut and Matang,"No. 43, Kg. Baru Batu Matang",Farm,1,17/6/2021,1/9/2021,Perak,,,,
VRI 4287/2021 (ob_87495),Perlis,"250, Blok 12, Felda Chuping",Farm,1,15/6/2021,1/9/2021,Perlis,,,,
VRI 4268/2021 (ob_87494),Perlis,"Kampung Suu Dalam, Padang Besar (U)",Farm,1,9/6/2021,1/9/2021,Perlis,,,,
VRI 4285/2021 (ob_87493),Perlis,"Kg. Sena Dalam, Padang Besar (U)",Farm,1,9/6/2021,1/9/2021,Perlis,,,,
VRI 4270/2021 (ob_87492),Sabak Bernam,"B12, Jalan Permatang Jawa",Farm,1,12/6/2021,1/9/2021,Selangor,,,,
VRI 4267/2021 (ob_87491),Kinta,"1031, Lengkok Gunung Rapat",Farm,1,30/5/2021,1/8/2021,Perak,,,,
VRI 4230/2021 (ob_87490),Kinta,"No.32, Persiaran Pengkalan, Barat 11, Taman Keramat",Farm,1,14/6/2021,1/9/2021,Perak,,,,
VRI 4227/2021 (ob_87489),Kinta,"Projek Penternakan Susu Lembu, Sg. Terap",Farm,1,15/6/2021,1/9/2021,Perak,,,,
VRI 4211/2021 (ob_87488),Jasin,"Lot 24, Jalan Kemendor, sri Kesang, Jasin",Farm,1,10/6/2021,1/9/2021,Melaka,,,,
VRI 4190/2021 (ob_87487),Perak Tengah,"Lot J89, Taman Seri Ara",Farm,1,7/6/2021,1/9/2021,Perak,,,,
VRI 4188/21 (ob_87480),Kinta,"Jalan Johan 2/9, Kawasan Perindustrian Pengkalan",Farm,1,13/6/2021,1/9/2021,Perak,,,,
VRI 4158/2021 (ob_87479),Kinta,"Bt.2, Jalan Gopeng, Lumut",Farm,1,11/6/2021,1/9/2021,Perak,,,,
VRI 4126/2021 (ob_87478),Seberang Perai Selatan,"Lot 205-A, Jalan Sungai Bakap, Tasek Cempedak",Farm,1,14/6/2021,1/9/2021,Pulau Pinang,,,,
VRI 3986/2021 (ob_87477),Kuala Kangsar,"No.10, Kg. Kubang Udang 33800 Manong",Farm,1,2/6/2021,1/9/2021,Perak,,,,
VRI 4179/2021 (ob_87476),Larut and Matang,"Estet Kg. Dew, Semanggol, Kerian",Farm,1,9/6/2021,1/9/2021,Perak,,,,
VRI 4024/2021 (ob_87475),Kinta,"No.39, Persiaran Pinji Selatan 2, Taman Desa Pelancongan",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 4023/2021 (ob_87474),Kinta,"No 45, Kg. Tersusun, Batu 31/2 Jalan Kota Bharu, 31600 Gopeng",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 4025/21 (ob_87473),Kinta,"33-A, Laluan Kuda Baru,",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 3945/2021 (ob_87472),Kuala Kangsar,"Kg. Sungai Hong, Kg. Belut 31100 Sg. Siput",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 4160/2021 (ob_87471),Bentong,"Kawasan Ternakan Lembu, Jalan Susur Masuk Penjara Bentong",Farm,1,12/6/2021,1/9/2021,Pahang,,,,
VRI 4102/2021 (ob_87470),Kuala Muda,"Lot 553, Bt 1/4 Jalan Bukit Selambau, Kuala Muda",Farm,1,2/6/2021,1/9/2021,Kedah,,,,
VRI 4103/2021 (ob_87469),Kulim,"No.25, Kg. Batu Puteh, 09700 Kulim",Farm,1,29/5/2021,1/8/2021,Kedah,,,,
VRI 4106/2021 (ob_87468),Kota Setar,"No 11, Km 10, Jln Putra-Alor Janggus, Kota Setar",Farm,1,2/6/2021,1/9/2021,Kedah,,,,
VRI 3998/2021 (ob_87467),Sik,Kg. Tanjung Piring,Farm,1,3/6/2021,1/9/2021,Kedah,,,,
VRI 4098/2021 (ob_87466),Baling,"Kg. Sira Baru, 09100 Pulai Baling, Kedah",Farm,1,9/5/2021,1/8/2021,Kedah,,,,
VRI 4064/2021 (ob_87465),Hulu Perak,Kg Sumpitan Lenggong,Farm,1,9/6/2021,1/9/2021,Perak,,,,
VRI 4063/2021 (ob_87464),Hulu Perak,"No.18, Jalan Bunga Santalia, Kg. Rokam, 33400 Lenggong",Farm,1,9/6/2021,1/9/2021,Perak,,,,
VRI 4057/2021 (ob_87463),Kinta,"No.69, Jalan Lima, Taman Sri Wangsa, 31000 Batu Gajah",Farm,1,9/6/2021,1/9/2021,Perak,,,,
VRI 4069/2021 (ob_86794),Setiu,KG. BUKIT NENAS,Farm,1,23/5/2021,1/8/2021,Terengganu,,,,
VRI 4058/2021 (ob_86791),Kuala Kangsar,"JALAN BAGINDA, 31000 BATU GAJAH",Farm,1,8/6/2021,1/9/2021,Perak,,,,
VRI 4066/2021 (ob_86788),Kinta,"RPA CHENDERONG, 31000 BATU GAJAH",Farm,1,2/6/2021,1/9/2021,Perak,,,,
VRI 4070/2021 (ob_86785),Kerian,"KG. UTAMA BATU 4 1/4 BUKIT MERAH, BAGAN SERAI",Farm,1,9/6/2021,1/9/2021,Perak,,,,
VRI 3943/2021 (ob_86722),Melaka Tengah,"LOT 665, KG. SG. PUTAT, AYER KEROH",Farm,1,20/5/2021,1/8/2021,Melaka,,,,
VRI 3917/2021 (ob_86720),Alor Gajah,"KG. BARU, BUKIT SEDANAN",Farm,1,27/5/2021,1/8/2021,Melaka,,,,
VRI 4044/2021 (ob_86718),Perlis,PROJEK INTEGRASI FELDA CHUPING,Farm,1,4/6/2021,1/9/2021,Perlis,,,,
VRI 4048/2021 (ob_86717),Perlis,BUKIT TEMIANG,Farm,1,9/6/2021,1/9/2021,Perlis,,,,
VRI 3981/2021 (ob_86715),Kinta,"NO. 6248, DESA CHANGKAT",Farm,1,2/6/2021,1/9/2021,Perak,,,,
VRI 3979/2021 (ob_86713),Kinta,"NO. 31, JALAN MENGLEMBU IMPIANA 17, TAMAN MENGLEMBU",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 3983/2021 (ob_86710),Kinta,"NO. 62, KG. CHANGKAT LARANG",Farm,1,3/6/2021,1/9/2021,Perak,,,,
VRI 3629/2021 (ob_86708),Kinta,"NO. 1, JALAN TAWAS IDAMAN 18, TAMAN TAWAS IDAMAN",Farm,1,10/5/2021,1/8/2021,Perak,,,,
VRI 3922/2021 (ob_86707),Kinta,BERSEBELAHAN GREEN PARK BY KAIZEN CPSH PERSIARAN LAPANGAN PERDANA,Farm,1,31/5/2021,1/8/2021,Perak,,,,
VRI 3924/2021 (ob_86704),Kinta,LOT 527 KPG SERANI,Farm,1,30/5/2021,1/8/2021,Perak,,,,
VRI 3827/2021 (ob_86702),Kuala Kangsar,KAMPUNG PERIANG/KARAI KUALA KANGSAR,Farm,1,27/5/2021,1/8/2021,Perak,,,,
VRI 3756/2021 (ob_86699),Kinta,"DATARAN RAPAT BARU 7, MEDAN LAPANGAN SENTOSA",Farm,1,21/5/2021,1/8/2021,Perak,,,,
VRI 3923/2021 (ob_86697),Kinta,BERSEBELAHAN PENCAWANG TNB PERSIARAN LAPANGAN PERDANA,Farm,1,31/5/2021,1/8/2021,Perak,,,,
VRI 3960/2021 (ob_86696),Pekan,"NO. 22, KG. PERMATANG PAUH",Farm,1,1/6/2021,1/9/2021,Pahang,,,,
VRI 3959/2021 (ob_86695),Pekan,KG. TANJUNG AGAS,Farm,1,1/6/2021,1/9/2021,Pahang,,,,
VRI 3820/2021 (ob_86694),Sik,"TERNAK BUNGA TANJUNG, KG. TANJUNG BESAR",Farm,1,24/5/2021,1/8/2021,Kedah,,,,
VRI 3971/2021 (ob_86693),Kulim,KG. SG. BULUH,Farm,1,30/5/2021,1/8/2021,Kedah,,,,
VRI 3965/2021 (ob_86692),Kulim,KG. GENUAK,Farm,1,31/5/2021,1/8/2021,Kedah,,,,
VRI 3895/2021 (ob_86689),Hulu Perak,TASIK RABAN LENGGONG,Farm,1,23/5/2021,1/8/2021,Perak,,,,
MVS 1685/2021 (ob_94811),Mersing,Kg. Sungai Mengkuang,Farm,1,11/11/2021,31/3/2022,Johor,,,,
MVZT 2739/2021 (ob_93220),Maran,KILANG FELCRA MARAN SIMPANG PEKAN TAJAU 26500 MARAN,Farm,1,19/10/2021,28/2/2022,Pahang,,,,
MVZT 2738/2021 (ob_93219),Maran,KAMPUNG BARU SUNGAI LING 28100 TEMERLOH,Farm,1,8/6/2021,31/12/2021,Pahang,,,,
MVZT 2554/2021 (ob_93184),Rembau,"Kg. Sg. Raden, Lubok China",Farm,1,6/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZT 2555/2021 (ob_93183),Rembau,"Titian Livestock, Lot 2844, Kg. Semin",Farm,1,4/10/2021,28/2/2022,Negeri Sembilan,,,,
MVZT 2460/2021 (ob_93181),Jasin,"Bt 21 ?, Jln Selandar, Kesang 76470 Selandar, Jasin",Farm,1,2/10/2021,28/2/2022,Melaka,,,,
MVZT 2489/2021 (ob_93179),Rompin,"G2, Kg. Ubai",Farm,1,3/10/2021,28/2/2022,Pahang,,,,
MVZT 2445/2021 (ob_93174),Jasin,"Bt 17, Paya Buluh, 77300 Merlimau",Farm,1,30/9/2021,31/12/2021,Melaka,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Counts of outbreaks
VRI 5114/2020 (1000135779),Kuala Terengganu,Lot 256 Kampung Banggol Tok Esah 20050 Kuala Terengganu Manir,Backyard,1,6/8/2020,31/5/2021,Terengganu,EVENT 3291,,Terengganu,1
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Counts of outbreaks
HPAI 2018/07 (1000104316),Sabah,Kampung Raganan Kiulu,Farm,1,3/8/2018,15/9/2018,Sabah,EVENT 2628,,Sabah,7
HPAI 2018/06 (1000104315),Sabah,Kampung Ladang Tenghilan,Farm,1,3/8/2018,15/9/2018,Sabah,,,,
HPAI 2018/05 (1000104314),Sabah,Desa Sri Taman Jaya Laya-Laya,Farm,1,3/8/2018,15/9/2018,Sabah,,,,
HPAI 2018/4 (1000103886),Sabah,Kampung Kebayau,Farm,1,3/8/2018,15/9/2018,Sabah,,,,
HPAI 2018/3 (1000103885),Sabah,Kampung Laputung,Farm,1,3/8/2018,15/9/2018,Sabah,,,,
Sabah_HPAI_2018/2 (1000103621),Sabah,Kampung Telibong,Farm,1,3/8/2018,15/9/2018,Sabah,,,,
Sabah_HPAI_2018/01 (1000103140),Sabah,Kampung Kauluan,Farm,1,27/7/2018,15/9/2018,Sabah,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Counts of outbreaks
Prk.Bio(Joh) 1265/2(47) (1000104552),Melaka,"Lot PT387, Sempang pantai",Farm,1,4/6/2018,30/6/2018,Melaka,EVENT 2665,,Melaka,1
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Counts of outbreaks
TiLV_N.Sembilan (1000100778),Negeri Sembilan,Muntoh River,Pond,1,23/10/2017,30/10/2017,Negeri Sembilan,EVENT 2364,,Negeri Sembilan,1
TiLV_Sarawak (1000099934),Sarawak,Batang Ai HEP Dam,Farm,1,21/6/2017,17/8/2017,Sarawak,,,Sarawak,1
TiLV_Kedah (1000093571),Kedah,Pial River,Pond,1,4/7/2017,27/7/2017,Kedah,,,Kedah,1
TiLV_Perlis (1000093570),Perlis,Timah Tasoh dam,Lake,1,19/6/2017,7/8/2017,Perlis,,,Perlis,1
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Counts of outbreaks
VRI-002959-2017 (1000092967),Kelantan,Kg. Paloh,Backyard,1,12/3/2017,1/4/2017,Kelantan,EVENT 2225,,Kelantan,36
VRI-003541-2017 (1000092966),Kelantan,Kg. Jalan Mujur,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
