Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
MVZT(K) 1470/2022 (ob_105757),Kemaman,PEJABAT PERKHIDMATAN VETERINAR DAERAH KEMAMAN,Forest,1,21/6/2022,21/9/2022,Terengganu,,,,
MVZT 1120/2022 (ob_105756),Gua Musang,"TAMAN NEGARA KELANTAN, KUALA KOH, 18300, GUA MUSANG, KELANTAN",Natural park,1,1/6/2022,1/9/2022,Kelantan,,,,
ob_116748,Kinta,"BT. 8, JLN. KK KOK LIM EST CHEMOR",Farm,1,27/2/2023,,Perak,,,,
ob_116747,Hilir Perak,"BT. 10 1/2, JALAN DEGONG AIR KUNING",Farm,1,1/3/2023,,Perak,,,,
ob_116746,Kinta,"203-B, K. KUANG CHEMOR",Farm,1,18/2/2023,,Perak,,,,
ob_111910,Rompin,HUTAN SIMPAN PUKIN,Forest,1,19/9/2022,31/12/2022,Pahang,,,,
MVZT 0829/2022 (ob_105754),Lipis,"TAMAN NEGARA PAHANG, SG. RELAU, MERAPOH, 27210, KUALA LIPIS",Natural park,1,19/4/2022,1/8/2022,Pahang,,,,
VRI1925/2022 (ob_102129),Hilir Perak,D11-A KG KUALA BIKAM,Farm,1,2/4/2022,1/8/2022,Perak,,,,
VRI 1683/2022 (ob_102128),Hilir Perak,BATU 12 JALAN BIDOR 36020 TELUK INTAN PERAK,Farm,1,9/3/2022,1/8/2022,Perak,,,,
MVZT 0240/ 2022 (ob_97655),Alor Gajah,"Lot 2860, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,28/1/2022,1/5/2022,Melaka,,,,
MVZT 0201/ 2022 (ob_97654),Alor Gajah,"Lot 2858, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,24/1/2022,1/5/2022,Melaka,,,,
MVZT 0165 (ob_97650),Alor Gajah,"Lot 2227, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,19/1/2022,1/5/2022,Melaka,,,,
MVZT (PHG) 250/2022 (ob_102136),Bentong,KG. SEBERANG JELAM,Forest,1,10/2/2022,1/6/2022,Pahang,,,,
MVZT 0351/2022 (ob_102127),Alor Gajah,"Lot 2940, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,15/2/2022,1/6/2022,Melaka,,,,
MVZT 0349/2022 (ob_102126),Alor Gajah,"Lot 2849, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,15/2/2022,1/6/2022,Melaka,,,,
MVZT 0354/2022 (ob_102125),Alor Gajah,"Lot 3311 & 2817, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,15/2/2022,1/6/2022,Melaka,,,,
MVZT 0324/2022 (ob_102124),Alor Gajah,"Lot 2815 & 2131, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,10/2/2022,1/6/2022,Melaka,,,,
MVZT(PHG) 2552/21 (ob_94420),Temerloh,pejabat perhilitan pos perlok,Village,1,23/11/2021,25/3/2022,Pahang,,,,
MVZT 3172/2021 (ob_94429),Batang Padang,Kg. Menderang Melayu,Forest,1,23/11/2021,7/3/2022,Perak,,,,
VRI008666/8664/2021 (ob_94419),Temerloh,"Kg.Perlok, Jerantut Pahang",Village,1,23/12/2021,25/3/2022,Pahang,,,,
VRI 008729/2021 (ob_94418),Temerloh,"FELDA JENDERAK SELATAN, KUALA KRAU",Forest,1,4/12/2021,7/3/2022,Pahang,,,,
MVZT 3171/2021 (ob_94428),Batang Padang,Ladang Bukit Katho,Other,1,30/11/2021,7/3/2022,Perak,,,,
VRI 008681/2021 (ob_93594),Batang Padang,"Kg. Perlok, Sungkai",Village,1,22/11/2021,7/3/2022,Perak,,,,
VRI 008680/2021 (ob_93593),Batang Padang,"Ladang Kelapa Sawit Narborough (FELCRA), Sungkai",Other,1,28/10/2021,7/3/2022,Perak,,,,
VRI 008641/2021 (2) (ob_93592),Batang Padang,"Estet Bukit Katho, Kg. Poh, Bidor",Village,1,1/12/2021,7/3/2022,Perak,,,,
VRI 008641/2021 (ob_93591),Batang Padang,"Ladang Estet Sawit lama, Kg. Poh, Bidor",Village,1,5/11/2021,7/3/2022,Perak,,,,
MVZT(PHG) 107/2022 (ob_102139),Temerloh,"LADANG KERDAU ESTATE, POS KERDAU, TEMERLOH",Other,1,14/1/2022,18/4/2022,Pahang,,,,
MVZT 96/2022 (ob_102135),Keluang,"Ladang Tun Dr Ismail, Renggam, Kluang, Johor",Other,1,15/12/2021,13/4/2022,Johor,,,,
MVZT 96/2022 (3) (ob_102134),Keluang,"Ladang Tun Dr Ismail, Renggam, Kluang, Johor",Other,1,15/12/2021,13/4/2022,Johor,,,,
MVZT 96/2022 (2) (ob_102133),Keluang,"ladang Tun Dr Ismail, Renggam, Kluang, Johor",Other,1,15/12/2021,13/4/2022,Johor,,,,
MVZT 96/2022 (1) (ob_102132),Keluang,"Ladang Tun Dr. Ismail, Renggam, Kluang Johor",Other,1,15/12/2021,13/4/2022,Johor,,,,
MVZT(PHG) 0059/2022 (ob_97656),Raub,"PK79, KG. PAMAH KULAT, ULU DONG",Forest,1,11/1/2022,11/4/2022,Pahang,,,,
MVZT(PHG) 0094/2022 (ob_97658),Lipis,"KG. BUKIT BELAU, TG. BESAR BENTA, KUALA LIPIS",Farm,1,10/1/2022,11/4/2022,Pahang,,,,
MVZT(PHG) 0058/2022 (ob_97657),Raub,"NO.93A, KG. PAMAH KULAT ULU DONG RAUB",Forest,1,11/1/2022,11/4/2022,Pahang,,,,
MVZT 0168/ 2022 (ob_97653),Alor Gajah,"Lot 2865, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,19/1/2022,26/4/2022,Melaka,,,,
MVZT 0166/ 2022 (ob_97651),Alor Gajah,"Lot 2857, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,19/1/2022,26/4/2022,Melaka,,,,
MVZT 0167/ 2022 (ob_97652),Alor Gajah,"Lot 2857, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,19/1/2022,26/4/2022,Melaka,,,,
MVZT 0100/ 2022 (ob_97648),Alor Gajah,"Lot 2223, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,13/1/2022,15/4/2022,Melaka,,,,
MVZT 0099/ 2022 (ob_97647),Alor Gajah,"Lot 2232, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,13/1/2022,17/4/2022,Melaka,,,,
MVZT 0092/ 2022 (ob_97646),Alor Gajah,"Lot 2228, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,12/1/2022,18/4/2022,Melaka,,,,
MVZT 0017/ 2022 (ob_97644),Alor Gajah,"Lot 1164, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,3/1/2022,12/4/2022,Melaka,,,,
MVZT 0010/ 2022 (ob_97643),Alor Gajah,"Lot 2229, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,1/1/2022,13/4/2022,Melaka,,,,
MVZT 0009/ 2022 (ob_97642),Alor Gajah,"Lot 2230, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,1/1/2022,14/4/2022,Melaka,,,,
MVZT 3449/ 2021 (ob_94753),Alor Gajah,"Lot 2946, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,30/12/2021,16/4/2022,Melaka,,,,
